,ranking,isIp,valid,urlLen,is@,isredirect,haveDash,domainLen,label,notlabel
237,10000000,0,0,67,0,0,0,27,1,0
238,10000000,0,0,103,0,0,0,30,1,0
239,14969,0,1,27,0,0,0,14,0,1
240,10000000,0,0,32,0,0,0,12,1,0
241,10000000,0,1,68,0,0,0,27,1,0
242,10000000,0,0,34,0,0,0,15,1,0
243,483,0,1,30,0,0,0,10,0,1
244,10000000,0,0,42,0,0,0,13,0,1
245,10000000,0,0,41,0,0,0,22,1,0
246,124234,0,1,52,0,0,0,26,1,0
247,10000000,0,1,45,0,0,0,18,1,0
248,44061,0,1,33,0,0,0,13,1,0
249,2547,0,1,44,0,0,0,17,0,1
250,10000000,0,1,53,0,0,0,16,1,0
251,10000000,0,1,39,0,0,1,12,1,0
252,10000000,0,1,27,0,0,0,27,1,0
253,44536,0,0,24,0,0,0,15,0,1
254,4570,0,1,343,0,0,1,44,1,0
255,10000000,0,0,100,0,0,0,13,1,0
256,10000000,0,1,78,0,0,0,8,1,0
257,10000000,0,1,42,0,0,0,29,0,1
258,10000000,0,1,64,0,0,0,24,1,0
259,62842,0,0,42,0,0,0,24,0,1
260,10000000,0,1,85,0,0,0,13,1,0
261,771840,0,0,156,0,0,0,16,1,0
262,33926,0,0,30,0,0,0,17,0,1
263,10000000,0,1,38,0,0,0,10,0,1
264,10000000,0,0,52,0,0,0,15,0,1
265,160,0,0,42,0,0,0,15,0,1
266,5738,0,0,32,0,0,0,16,0,1
267,906392,0,0,116,0,0,0,10,1,0
268,145565,0,1,51,0,0,0,14,0,1
269,10000000,0,0,62,0,0,0,24,1,0
270,10000000,0,0,84,0,0,1,19,1,0
271,10000000,0,0,36,0,0,0,10,1,0
272,646,0,0,61,0,0,0,48,1,0
273,10000000,0,0,38,0,0,1,16,1,0
274,483,0,0,17,0,0,0,10,0,1
275,10000000,0,1,26,0,0,1,16,0,1
276,10000000,0,1,13,0,0,0,9,1,0
277,10000000,0,1,80,0,0,0,15,1,0
278,3503,0,1,31,0,0,0,20,0,1
279,10000000,0,1,27,0,0,0,15,1,0
280,5556,0,1,42,0,0,0,13,0,1
281,41650,0,0,23,0,0,0,22,1,0
282,10000000,0,1,18,0,0,0,10,0,1
283,10000000,0,1,37,0,0,0,14,1,0
284,771840,0,0,156,0,0,0,16,1,0
285,10000000,0,1,29,0,0,1,16,0,1
286,10000000,0,0,22,0,0,0,15,0,1
287,10000000,0,0,234,0,0,1,200,1,0
288,16999,0,1,50,0,0,0,20,0,1
289,10000000,0,1,31,0,0,1,31,1,0
290,10000000,0,1,83,0,0,0,21,1,0
291,10000000,0,0,195,0,0,0,16,1,0
292,10000000,0,1,32,0,0,0,15,0,1
293,10000000,0,0,16,0,0,1,14,1,0
294,10000000,0,1,14,0,0,0,11,1,0
295,10000000,0,0,15,0,0,0,10,0,1
296,29,0,1,53,0,0,0,18,0,1
297,10000000,0,0,165,0,0,0,10,1,0
298,10000000,0,0,33,0,0,0,16,0,1
299,10000000,0,1,29,0,0,0,15,0,1
300,10000000,0,0,71,0,0,0,17,1,0
301,10000000,0,0,35,0,0,0,27,0,1
302,6394,0,1,46,0,0,0,33,1,0
303,44194,0,0,53,0,0,0,23,0,1
304,10000000,0,0,180,0,0,0,29,1,0
305,10000000,0,1,53,0,0,0,24,1,0
306,10000000,0,0,114,0,0,0,11,1,0
307,996,0,1,32,0,0,0,12,0,1
308,10000000,0,1,90,0,0,0,13,1,0
309,10000000,0,0,237,0,0,0,23,1,0
310,36862,0,1,38,0,0,0,12,0,1
311,10000000,0,0,50,0,0,1,24,1,0
312,14969,0,1,27,0,0,0,14,0,1
313,10000000,0,1,33,0,0,0,21,0,1
314,14969,0,1,27,0,0,0,14,0,1
315,10000000,0,0,46,0,1,0,14,1,0
316,10000000,0,0,28,0,0,0,18,0,1
317,10000000,0,1,32,0,0,0,31,1,0
318,14969,0,1,27,0,0,0,14,0,1
319,14969,0,1,27,0,0,0,14,0,1
320,10000000,0,1,34,0,0,1,15,0,1
321,10000000,0,0,66,0,0,1,40,1,0
322,10000000,0,1,48,0,0,0,22,1,0
323,10000000,0,0,72,0,0,0,18,1,0
324,10000000,0,1,30,0,0,0,14,1,0
325,44061,0,1,33,0,0,0,13,1,0
326,10000000,0,0,104,0,0,1,26,1,0
327,10000000,0,0,78,0,0,0,21,1,0
328,10000000,0,0,41,0,0,1,20,1,0
329,990138,0,1,49,0,0,0,16,1,0
330,10000000,0,0,25,0,0,1,13,1,0
331,10000000,0,1,52,0,0,0,21,0,1
332,10000000,0,1,119,0,0,0,21,1,0
333,10000000,0,0,125,0,0,1,48,1,0
334,4570,0,1,369,0,0,1,44,1,0
335,133589,0,1,53,0,0,0,24,0,1
336,10000000,0,0,171,0,0,0,12,1,0
337,10000000,0,1,63,0,0,0,17,1,0
338,13777,0,1,25,0,0,0,17,0,1
339,10000000,0,1,34,0,0,0,11,0,1
340,10000000,0,0,58,0,0,0,14,1,0
341,10000000,0,0,36,0,0,0,24,0,1
342,10000000,0,0,82,0,0,1,39,1,0
343,245,0,0,33,0,0,0,20,1,0
344,6125,0,1,43,0,0,0,11,0,1
345,15812,0,0,56,0,0,0,16,0,1
346,10000000,0,0,44,0,0,0,17,1,0
347,10000000,0,0,41,0,0,0,11,1,0
348,1267,0,1,28,0,0,0,17,0,1
349,10000000,0,0,171,0,0,1,137,1,0
350,10000000,0,1,44,0,0,1,15,1,0
351,10000000,0,1,51,0,0,0,14,1,0
352,10000000,0,0,38,0,0,0,17,1,0
353,10000000,0,1,65,0,0,0,9,1,0
354,10000000,0,1,191,0,0,0,12,1,0
355,713140,0,1,19,0,0,0,14,0,1
356,10000000,0,0,58,0,0,0,15,1,0
357,646,0,0,20,0,0,0,19,1,0
358,10000000,0,1,81,0,0,0,15,1,0
359,10000000,0,0,102,0,0,0,20,1,0
360,10000000,0,1,31,0,0,0,11,0,1
361,10000000,0,1,87,0,0,0,14,1,0
362,12749,0,1,32,0,0,0,15,0,1
363,10000000,0,0,67,0,0,0,16,1,0
364,10000000,0,1,34,0,0,0,16,0,1
365,55441,0,1,12,0,0,0,6,1,0
366,10000000,0,0,58,0,0,1,24,1,0
367,10000000,0,0,52,0,0,0,18,1,0
368,10000000,0,1,129,0,0,0,14,1,0
369,10000000,0,0,39,0,0,0,21,1,0
370,10000000,0,0,23,0,0,0,23,1,0
371,14969,0,1,27,0,0,0,14,0,1
372,10000000,0,0,75,0,0,0,13,1,0
373,10000000,0,1,23,0,0,0,11,0,1
374,10000000,0,0,223,0,0,0,28,1,0
375,12518,0,0,24,0,0,0,13,0,1
376,44061,0,1,33,0,0,0,13,1,0
377,10000000,0,0,67,0,0,1,32,1,0
378,10000000,0,1,32,0,0,0,13,0,1
379,1104,0,1,45,0,0,0,18,0,1
380,4570,0,1,369,0,0,1,44,1,0
